,"Date","Num","Name","Source Name","Memo","Deliv Date","Qty","Rcv'd","Backordered","Amount","Open Balance"
"Inventory",,,,,,,,,,,
"Accessory",,,,,,,,,,,
"AccsyBx-6AntiVG-POC-551VTC",,,,,,,,,,,
,"07/24/2025","POD-251045","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","09/26/2025",36,0,36,216.00,216.00
,"07/24/2025","POD-251046","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","10/03/2025",34,0,34,204.00,204.00
,"07/24/2025","POD-251047","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","11/21/2025",24,0,24,144.00,144.00
,"07/24/2025","POD-251048","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-6AntiVG-POC-551VTC  Accessory box kit includes Anti-Vibrate Grommet*6,Screw*6 and pizza ...","12/19/2025",29,0,29,174.00,174.00
"Total AccsyBx-6AntiVG-POC-551VTC",,,,,,,123,0,123,738.00,738.00
"AccsyBx-Cardholder-10108GC-5080",,,,,,,,,,,
,"09/08/2025","POD-251277","Neousys Technology Incorp.","Neousys Technology Incorp.","AccsyBx-Cardholder-10108GC-5080_70_70Ti  Nuvo-10108GC GPU bracket kit for MSI RTX 5080,5070,5070...","09/24/2025",1,0,1,16.00,16.00
"Total AccsyBx-Cardholder-10108GC-5080",,,,,,,1,0,1,16.00,16.00
"AccsyBx-Cardholder-9160GC-2000E",,,,,,,,,,,
,"08/29/2025","POD-251250","Neousys Technology Incorp.","Neousys Technology Incorp.","AccsyBx-Cardholder-9160GC-2000EAda  Nuvo-9160GC GPU bracket kit for RTX 2000E Ada.","09/10/2025",2,0,2,10.00,10.00
"Total AccsyBx-Cardholder-9160GC-2000E",,,,,,,2,0,2,10.00,10.00
"AccsyBx-FAN-NRU-100",,,,,,,,,,,
,"09/08/2025","POD-251279","Neousys Technology Incorp.","Neousys Technology Incorp.","AccsyBx-FAN-NRU-100  Fan assembly for NRU-100 series, includes fan, fan frame, fan filter, fan c...","09/24/2025",8,0,8,192.00,192.00
"Total AccsyBx-FAN-NRU-100",,,,,,,8,0,8,192.00,192.00
"AccsyBx-FAN-Nuvo10208GC",,,,,,,,,,,
,"09/15/2025","POD-251324","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-FAN-Nuvo10208GC  Fan assembly for Nuvo-10208GC series, 92x92x25 mm. Industrial Computer ...","10/03/2025",6,0,6,240.00,240.00
"Total AccsyBx-FAN-Nuvo10208GC",,,,,,,6,0,6,240.00,240.00
"AccsyBx-FAN-POC-545",,,,,,,,,,,
,"09/11/2025","POD-251304","CoastIPC, Inc.","Neousys Technology Incorp.","AccsyBx-FAN-POC-545  Accessory for POC-545 includes fan, fan frame, fan cable cover, and screw. ...","09/26/2025",6,0,6,144.00,144.00
"Total AccsyBx-FAN-POC-545",,,,,,,6,0,6,144.00,144.00
