,"Type","Date","Ship Date","Deliv Date","Terms","Due Date","Num","P. O. #","Name","Qty","Invoiced","Backordered","Amount","Item","Rep","Open Balance","Inventory Site"
"Inventory",,,,,,,,,,,,,,,,,
"Accessory",,,,,,,,,,,,,,,,,
"AccsyBx-6AntiVG-POC-551VTC",,,,,,,,,,,,,,,,,
,"Sales Order","07/24/2025","09/26/2025",,"Net 30","08/23/2025","SO-20251049","P96577","CoastIPC, Inc.",36,0,36,540.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC","A689C",540.00,"Drop Ship"
,"Sales Order","07/24/2025","10/03/2025",,"Net 30","08/23/2025","SO-20251050","P96577","CoastIPC, Inc.",34,0,34,510.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC","A689C",510.00,"Drop Ship"
,"Sales Order","07/24/2025","11/21/2025",,"Net 30","08/23/2025","SO-20251051","P96577","CoastIPC, Inc.",24,0,24,360.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC","A689C",360.00,"Drop Ship"
,"Sales Order","07/24/2025","12/19/2025",,"Net 30","08/23/2025","SO-20251052","P96577","CoastIPC, Inc.",29,0,29,435.00,"Accessory:AccsyBx-6AntiVG-POC-551VTC","A689C",435.00,"Drop Ship"
"Total AccsyBx-6AntiVG-POC-551VTC",,,,,,,,,,123,0,123,1845.00,,,1845.00,
"AccsyBx-Cardholder-10108GC-5080",,,,,,,,,,,,,,,,,
,"Sales Order","08/21/2025","09/19/2025",,"Net 30","09/20/2025","SO-20251186","3008881458","The University of Michigan",1,0,1,20.00,"Accessory:AccsyBx-Cardholder-10108GC-5080","A702",20.00,"WH01S-NTA"
,"Sales Order","09/04/2025","10/02/2025",,"Prepay","09/04/2025","SO-20251257","DB02927","Leidos, Inc. (MS)",1,0,1,20.00,"Accessory:AccsyBx-Cardholder-10108GC-5080","A689",20.00,"WH01S-NTA"
"Total AccsyBx-Cardholder-10108GC-5080",,,,,,,,,,2,0,2,40.00,,,40.00,
"AccsyBx-Cardholder-9160GC-2000E",,,,,,,,,,,,,,,,,
,"Sales Order","08/27/2025","09/26/2025",,"Prepay","08/27/2025","SO-20251223","25003767","HERZOG SERVICES, INC.",2,0,2,12.00,"Accessory:AccsyBx-Cardholder-9160GC-2000E","A689",12.00,"WH01S-NTA"
"Total AccsyBx-Cardholder-9160GC-2000E",,,,,,,,,,2,0,2,12.00,,,12.00,
"AccsyBx-Chassis-N8108GC-QD-A6-N",,,,,,,,,,,,,,,,,
,"Sales Order","03/05/2025","10/24/2025",,"Net 30","04/04/2025","SO-20250326","PO208679","Noah Medical U.S.",5,0,5,1000.00,"Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N","A800",1000.00,"WH01S-NTA"
,"Sales Order","03/05/2025","12/26/2025",,"Net 30","04/04/2025","SO-20250327","PO208679","Noah Medical U.S.",5,0,5,1000.00,"Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N","A800",1000.00,"WH01S-NTA"
,"Sales Order","03/05/2025","02/20/2026",,"Net 30","04/04/2025","SO-20250328","PO208679","Noah Medical U.S.",5,0,5,1000.00,"Accessory:AccsyBx-Chassis-N8108GC-QD-A6-N","A800",1000.00,"WH01S-NTA"
