Order Date,Ship Date,QB Num,P. O. #,Name,Qty(-),Qty(+),Item,Inventory Site,Remark
12/11/2024,2/14/2025,SO-20241479,PO-0135052,Carnegie Robotics LLC,3,0,mPCIe-CAN-IPEH-4047,WH601C-NT,
12/4/2024,1/24/2025,SO-20241441,240612,CYBERNET SYSTEMS CORPORATION,2,0,mPCIe-CAN-IPEH-4047,WH601C-NT,
11/26/2024,1/10/2025,SO-20241408,BB9319197,Brunswick Boat Group,1,0,mPCIe-CAN-IPEH-4047,WH601C-NT,
10/15/2024,10/16/2024,EO-20240009,DE_20010,Tenneco (VA),1,0,PCIe-USB380-PCBA-A2,WH02D-NTA,
9/9/2024,9/17/2024,EO-20240007,DE_24008,Teleo Inc,1,0,NRU-230V-AWP-JAO64G,WH02D-NTA,
9/9/2024,9/17/2024,EO-20240007,DE_24008,Teleo Inc,6,0,AC-ISX031-H190,WH02D-NTA,
12/23/2024,1/2/2025,EO-20240010,DE_24011,Teleo Inc,2,0,AC-AR0147-H120-2203,WH02D-NTA,
7/4/2024,1/7/2025,POD-240772,SO-20240755,Neousys Technology Incorp.,0,25,mSATAHS-64GB-MLCWT-IK,WH01X-NTA,SO24070082
7/3/2024,1/27/2025,SO-20240755,15657,Automated Environments,25,0,mSATAHS-64GB-MLCWT-IK,WH01X-NTA,
7/3/2024,1/10/2025,SO-20240754,15657,Automated Environments,25,0,mSATAHS-64GB-MLCWT-IK,WH01X-NTA,
11/15/2023,1/10/2025,POD-231075,SO-20231096,Neousys Technology Incorp.,0,6,mPCIeHS-WiFi-121N,WH01X-NTA,SO23110265
4/12/2024,1/9/2025,SO-20240438,PO204048,Noah Medical U.S.,6,0,mPCIeHS-WiFi-121N,WH01X-NTA,
6/11/2024,3/7/2025,POD-240688,SO-20240674,Neousys Technology Incorp.,0,8,i7-9700TE,WH01X-NTA,SO24060118
6/11/2024,2/7/2025,POD-240689,SO-20240675,Neousys Technology Incorp.,0,10,i7-9700TE,WH01X-NTA,SO24060119
6/11/2024,1/7/2025,POD-240687,SO-20240673,Neousys Technology Incorp.,0,10,i7-9700TE,WH01X-NTA,SO24060117
8/20/2024,3/31/2025,SO-20240922,PO055573,"FireFly Automatix, Inc.",8,0,i7-9700TE,WH01X-NTA,
6/10/2024,2/28/2025,SO-20240675,PO055573,"FireFly Automatix, Inc.",10,0,i7-9700TE,WH01X-NTA,
6/10/2024,1/31/2025,SO-20240674,PO055573,"FireFly Automatix, Inc.",10,0,i7-9700TE,WH01X-NTA,
5/16/2024,3/14/2025,POD-240614,SO-20240572,Neousys Technology Incorp.,0,36,i7-9700E,WH01X-NTA,SO24050254
5/14/2024,3/28/2025,SO-20240572,SIL4-NTA24-02,SIL4 Systems Inc.,36,0,i7-9700E,WH01X-NTA,
4/8/2024,3/28/2025,SO-20240408,ING-24-0316,"Ingineerix, LLC",10,0,i7-12700TE,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240638,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,i7-12700TE,WH01X-NTA,
5/31/2024,3/28/2025,SO-20240637,ING Neousys JUN-AUG,"Ingineerix, LLC",10,0,i7-12700TE,WH01X-NTA,
